jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.1.j9-adpt; -Xjit:count=0;1;0;23281558;303042739;1102358384
15.0.1.j9-adpt; -Xjit:count=1;1;0;15532602;200428424;766763784
15.0.1.j9-adpt; -Xjit:count=10;1;0;16708672;215974248;778456993
15.0.1.j9-adpt; -Xjit:count=100;1;0;17601006;227764827;824971155
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;23571699;308013908;1117170052
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;16267612;209877153;761284794
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;25584032;334126984;1193941523
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;25399735;330160091;1185297747
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;25634367;335471824;1195664909
15.0.1-open; -XX:-TieredCompilation;1;0;20459036;265587007;939393042
15.0.1-open; -XX:TieredStopAtLevel=0;1;0;368758017;4903103989;18292237352
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;14957222;195664035;708665971
15.0.1-open; -XX:TieredStopAtLevel=2;1;0;25792653;338124416;1237956242
15.0.1-open; -XX:TieredStopAtLevel=3;1;0;38635846;509304992;1891242595
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;20505868;266296484;947621659
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;20487363;265326373;965618195
20.2.0.r11-grl; -XX:+UseG1GC;1;0;25151904;330493709;1169976986
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;25377336;333137091;1191028262
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;25104939;328475869;1161646074
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;25131901;330869355;1197865280
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;25155568;329778083;1165235543
20.2.0.r11-grl; -XX:+DisableExplicitGC;1;0;25240412;330774907;1171120780
20.2.0.r11-grl; -XX:+UseParallelGC;1;0;25109125;327378996;1143356020
20.2.0.r11-grl; -XX:+UseParallelOldGC;1;0;25071480;326344195;1159795310
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;1;0;25188503;327734583;1150953108
15.0.1.j9-adpt; -Xgc:concurrentScavenge;1;0;17111049;221790529;803538348
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;1;0;17357119;225083869;805965100
15.0.1.j9-adpt; -Xgcpolicy:balanced;1;0;17149614;221037647;794603374
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;17242335;223257540;795091898
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;17526044;227606519;826592672
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;17250596;222476383;798929230
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;17098893;222609736;794537639
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;17160765;220835503;786650513
15.0.1-open; -XX:+UseG1GC;1;0;20523553;266146132;946544573
15.0.1-open; -XX:ParallelGCThreads=5;1;0;20473484;265554817;945440329
15.0.1-open; -XX:ConcGCThreads=5;1;0;20434427;265911950;940680941
15.0.1-open; -XX:ParallelGCThreads=1;1;0;20369590;266323137;945352621
15.0.1-open; -XX:ConcGCThreads=1;1;0;20496626;265149443;942427885
15.0.1-open; -XX:+DisableExplicitGC;1;0;20559586;267253637;945376669
15.0.1-open; -XX:+UseParallelGC;1;0;20511928;267861505;953083680
15.0.1-open; -XX:+UseParallelOldGC;1;0;20560044;266968949;942167265
15.0.1-open; -XX:+UseSerialGC;1;0;20362508;263870838;933426077
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;1;0;21066979;274226750;969711202
16.0.0.j9-adpt;deafult;2;0;17229969;222321501;795788246
16.0.0.hs-adpt;deafult;2;0;19060816;247025385;876372818
11.0.11.j9-adpt;deafult;2;0;17234074;222472893;799058501
11.0.11.hs-adpt;deafult;2;0;19083438;246884334;879702582
11.0.10.j9-adpt;deafult;2;0;17298124;222100232;790161856
11.0.10.hs-adpt;deafult;2;0;20499707;266044280;958157887
8.0.292.j9-adpt;deafult;2;0;17186536;222421425;796648718
8.0.292.hs-adpt;deafult;2;0;23508928;306934952;1092621409
8.0.282.j9-adpt;deafult;2;0;17190350;220941777;795319680
8.0.282.hs-adpt;deafult;2;0;23673261;308031611;1097585325
11.0.9.4-albba;deafult;2;0;20703581;268837295;974431832
8.5.5-albba;deafult;2;0;23600577;307065447;1094639532
16.0.1.9.1-amzn;deafult;2;0;19186994;248478931;887247546
16.0.0.36.1-amzn;deafult;2;0;18989050;245481829;871010954
15.0.2.7.1-amzn;deafult;2;0;20515032;265707833;932324762
11.0.11.9.1-amzn;deafult;2;0;19155853;249634830;889408857
11.0.10.9.1-amzn;deafult;2;0;20518318;267866922;948425123
8.292.10.1-amzn;deafult;2;0;23736076;309697734;1120487793
