jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;33489686;465588762;1830486646
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;27731448;387266470;1586477567
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;44073368;602762135;2330495743
15.0.1-open; -XX:-TieredCompilation;1;0;18289592;257962223;1105726356
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;26178730;364992087;1591565079
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;18720114;265137372;1140664315
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;18308876;259538842;1127029769
20.2.0.r11-grl; -XX:+UseG1GC;1;0;17654945;251200572;1080100812
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;17521401;248329756;1081553995
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;17463942;256324955;1081177224
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;17626120;248648715;1070326056
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;17477270;247577960;1091365431
20.2.0.r11-grl; -XX:+DisableExplicitGC;1;0;17497329;251347681;1094471135
20.2.0.r11-grl; -XX:+UseParallelGC;1;0;18710429;269933831;1165853949
20.2.0.r11-grl; -XX:+UseParallelOldGC;1;0;17910618;258187852;1152836221
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;1;0;18637117;266409567;1137575517
15.0.1.j9-adpt; -Xgc:concurrentScavenge;1;0;18621895;265578027;1147854178
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;1;0;20431415;288004155;1280382648
15.0.1.j9-adpt; -Xgcpolicy:balanced;1;0;28030859;392333081;1723828961
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;19868612;281700709;1223346417
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;30751939;427741197;1920859890
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;25554253;357746712;1605669962
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;21694242;308191021;1332233833
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;20885136;295186831;1316772569
15.0.1-open; -XX:+UseG1GC;1;0;17372706;250219581;1097595213
15.0.1-open; -XX:ParallelGCThreads=5;1;0;18662006;266313254;1179830903
15.0.1-open; -XX:ConcGCThreads=5;1;0;17880842;254842431;1099654350
15.0.1-open; -XX:ParallelGCThreads=1;1;0;17887146;254566801;1113850360
15.0.1-open; -XX:ConcGCThreads=1;1;0;18677759;264457885;1144345459
15.0.1-open; -XX:+DisableExplicitGC;1;0;19109219;271563784;1168506043
15.0.1-open; -XX:+UseParallelGC;1;0;17735348;251780197;1085466459
15.0.1-open; -XX:+UseParallelOldGC;1;0;19150199;270686698;1174315658
15.0.1-open; -XX:+UseSerialGC;1;0;18398569;261072867;1114861465
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;1;0;18962706;270299899;1173179248
16.0.0.j9-adpt;default;2;0;20691052;296464672;1309976322
16.0.0.hs-adpt;default;2;0;18159656;257162262;1117705330
11.0.11.j9-adpt;default;2;0;21193945;304769758;1374338279
11.0.11.hs-adpt;default;2;0;20306902;284646555;1229925075
11.0.10.j9-adpt;default;2;0;19265973;271536444;1151769878
11.0.10.hs-adpt;default;2;0;19597751;275611246;1168500610
8.0.292.j9-adpt;default;2;0;19317179;277645198;1163265211
8.0.292.hs-adpt;default;2;0;22515284;315829928;1320826635
8.0.282.j9-adpt;default;2;0;19448241;273691588;1179228549
8.0.282.hs-adpt;default;2;0;21623248;306348932;1313413691
11.0.9.4-albba;default;2;0;19985560;280871432;1198737837
8.5.5-albba;default;2;0;20328656;294886370;1215927186
16.0.1.9.1-amzn;default;2;0;18007969;255711027;1095749881
16.0.0.36.1-amzn;default;2;0;19273091;274814300;1203031221
15.0.2.7.1-amzn;default;2;0;18807623;267303164;1145432309
11.0.11.9.1-amzn;default;2;0;19878872;279655880;1192116821
11.0.10.9.1-amzn;default;2;0;19943570;277080062;1187914012
8.292.10.1-amzn;default;2;0;22123627;316267462;1315689319
8.282.08.1-amzn;default;2;0;21556075;304148456;1277870081
16.0.0-zulu;default;2;0;19098763;269211930;1164705148
16.0.0.fx-zulu;default;2;0;19087574;270802549;1198300093
15.0.2.fx-zulu;default;2;0;18803605;267013060;1147482963
11.0.11-zulu;default;2;0;19999402;285067933;1219855642
11.0.10-zulu;default;2;0;19541950;276541640;1179826264
11.0.10.fx-zulu;default;2;0;19928438;282083330;1200478311
8.0.292-zulu;default;2;0;20520546;291403188;1206363916
8.0.282-zulu;default;2;0;21692398;306992771;1278784873
8.0.282.fx-zulu;default;2;0;21587477;303842578;1276348477
16.0.1.fx-librca;default;2;0;19030276;270166682;1169148558
16.0.1-librca;default;2;0;18035085;258152402;1106491918
16.0.0.fx-librca;default;2;0;19301237;275260831;1205133206
16.0.0-librca;default;2;0;19130059;273526913;1172921863
11.0.11.fx-librca;default;2;0;20424426;286776820;1229584682
11.0.11-librca;default;2;0;21090939;300800708;1243692251
11.0.10.fx-librca;default;2;0;19659619;277756032;1177235816
11.0.10-librca;default;2;0;20046932;280302625;1195446341
8.0.292.fx-librca;default;2;0;19303214;273351040;1114696793
8.0.292-librca;default;2;0;21178588;299501814;1265073361
8.0.282.fx-librca;default;2;0;21396409;302813760;1256816240
8.0.282-librca;default;2;0;21556277;301680963;1276532133
21.1.0.r16-grl;default;2;0;17007029;239978632;1043899976
21.1.0.r11-grl;default;2;0;17770054;250948350;1096826965
21.1.0.r8-grl;default;2;0;18072332;257023674;1113704119
21.0.0.2.r11-grl;default;2;0;17375706;244454036;1084234651
21.0.0.2.r8-grl;default;2;0;17868447;255130820;1108962554
20.3.2.r11-grl;default;2;0;18148382;261110994;1104858683
20.3.2.r8-grl;default;2;0;18703052;269856198;1164572275
20.3.1.2.r11-grl;default;2;0;18291652;259126003;1114252092
20.3.1.2.r8-grl;default;2;0;18143459;262089321;1150241928
19.3.6.r11-grl;default;2;0;18016203;253781606;1080339275
19.3.6.r8-grl;default;2;0;18638335;265759362;1138757400
19.3.5.r11-grl;default;2;0;18140435;258301945;1118274787
19.3.5.r8-grl;default;2;0;18731523;267697567;1152580913
17.ea.19-open;default;2;0;17762022;251646782;1101856249
17.ea.6.lm-open;default;2;0;17628396;247545645;1061862088
17.ea.2.pma-open;default;2;0;17955889;255194590;1082845799
16-open;default;2;0;19035253;272594393;1174554122
16.0.1-open;default;2;0;18105480;257491014;1111340844
11.0.11-open;default;2;0;20324093;282812223;1199109602
11.0.10-open;default;2;0;20312987;284767608;1207325400
11.0.2-open;default;2;0;19055365;269606211;1159182762
8.0.292-open;default;2;0;21293407;299606666;1262391788
8.0.282-open;default;2;0;21136189;296998964;1243770498
8.0.265-open;default;2;0;21528042;304520306;1290006830
21.0.0.0-mandrel;default;2;0;19703748;275742138;1166219854
20.3.1.2-mandrel;default;2;0;20110352;279140084;1192508910
11.0.11.9.1-ms;default;2;0;19953487;281722511;1192286010
11.0.10.9-ms;default;2;0;19851089;281918121;1198904645
16-sapmchn;default;2;0;17979865;253487401;1084944855
16.0.1-sapmchn;default;2;0;18022149;256397859;1097432614
15.0.2-sapmchn;default;2;0;18665261;262648230;1137634356
11.0.11-sapmchn;default;2;0;19986396;280477550;1187896555
11.0.10-sapmchn;default;2;0;19917299;277350183;1178306188
8.0.232-trava;default;2;0;21182714;299418353;1235828868
20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;19755247;281135205;1186121963
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;2;0;17585196;246715621;1073540464
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;31247192;430504483;1878342421
15.0.1.j9-adpt; -XcompilationThreads1;2;0;18187507;258851413;1107120701
15.0.1.j9-adpt; -XcompilationThreads3;2;0;21393193;302344187;1327591632
15.0.1.j9-adpt; -XcompilationThreads7;2;0;20560387;291962846;1289515314
15.0.1.j9-adpt; -Xjit:count=0;2;0;33962348;466304358;1930477297
15.0.1.j9-adpt; -Xjit:count=1;2;0;24923289;348817983;1565199484
15.0.1.j9-adpt; -Xjit:count=10;2;0;18984760;272870420;1197715012
15.0.1.j9-adpt; -Xjit:count=100;2;0;21238578;300027476;1358789124
15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;65099138;876439019;3545657183
15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;46682406;634552704;2468494962
15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;33985283;465322817;1852968462
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;27114312;373400739;1541010398
15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;43186398;587127678;2255280421
15.0.1-open; -XX:-TieredCompilation;2;0;19229270;273789430;1155257174
15.0.1-open; -XX:TieredStopAtLevel=1;2;0;26223514;373551595;1598950191
15.0.1-open; -XX:TieredStopAtLevel=4;2;0;18053016;256899378;1125021717
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;17855882;256050197;1128640177
20.2.0.r11-grl; -XX:+UseG1GC;2;0;17756059;254886984;1093070932
20.2.0.r11-grl; -XX:ParallelGCThreads=5;2;0;17339425;247990922;1073975645
20.2.0.r11-grl; -XX:ConcGCThreads=5;2;0;17603598;250181745;1076949941
20.2.0.r11-grl; -XX:ParallelGCThreads=1;2;0;17480089;248965410;1065761981
20.2.0.r11-grl; -XX:ConcGCThreads=1;2;0;18220491;259076108;1119940797
20.2.0.r11-grl; -XX:+DisableExplicitGC;2;0;17302681;246706640;1062421353
20.2.0.r11-grl; -XX:+UseParallelGC;2;0;18414706;264014474;1150324570
20.2.0.r11-grl; -XX:+UseParallelOldGC;2;0;18171760;259984515;1140908090
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;2;0;18052432;258487380;1113731401
15.0.1.j9-adpt; -Xgc:concurrentScavenge;2;0;26559038;374010229;1659648827
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;2;0;17529773;252424663;1088627157
15.0.1.j9-adpt; -Xgcpolicy:balanced;2;0;30197837;422700475;1829359514
15.0.1.j9-adpt; -Xgcpolicy:gencon;2;0;18662950;266895541;1125928087
15.0.1.j9-adpt; -Xgcpolicy:metronome;2;0;29653078;414716706;1831599316
15.0.1.j9-adpt; -Xgcpolicy:nogc;2;0;19893081;283041769;1198236740
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;2;0;19523148;279028961;1192330199
15.0.1.j9-adpt; -Xgcpolicy:optthruput;2;0;19032369;271201052;1172341725
15.0.1-open; -XX:+UseG1GC;2;0;19022072;271430492;1189634772
15.0.1-open; -XX:ParallelGCThreads=5;2;0;17791454;252352356;1093862251
