jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.1.j9-adpt; -Xjit:count=100;1;0;17397836;227978552;814615590
15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;23744066;308408282;1116856821
15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;15994341;208654928;752723232
15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;25303891;329674639;1167405704
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;25301430;332493282;1173285570
15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;25409371;330690405;1178286718
15.0.1-open; -XX:-TieredCompilation;1;0;20443395;265535356;951410284
15.0.1-open; -XX:TieredStopAtLevel=1;1;0;14892278;190597071;694768058
15.0.1-open; -XX:TieredStopAtLevel=2;1;0;25982313;337173642;1246321883
15.0.1-open; -XX:TieredStopAtLevel=3;1;0;38430418;503222310;1870411533
15.0.1-open; -XX:TieredStopAtLevel=4;1;0;20386885;264986987;932971428
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;20221861;262554196;946708331
20.2.0.r11-grl; -XX:+UseG1GC;1;0;25554007;334565911;1204281097
20.2.0.r11-grl; -XX:ParallelGCThreads=5;1;0;25018447;325256488;1143834840
20.2.0.r11-grl; -XX:ConcGCThreads=5;1;0;24925839;324659896;1149167530
20.2.0.r11-grl; -XX:ParallelGCThreads=1;1;0;24969703;325687963;1159602011
20.2.0.r11-grl; -XX:ConcGCThreads=1;1;0;24966065;326176675;1159790427
20.2.0.r11-grl; -XX:+DisableExplicitGC;1;0;25075218;327278858;1170126338
20.2.0.r11-grl; -XX:+UseParallelGC;1;0;24944616;324507752;1149388781
20.2.0.r11-grl; -XX:+UseParallelOldGC;1;0;25004243;325821150;1152861062
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;1;0;25045199;324849294;1156282074
15.0.1.j9-adpt; -Xgc:concurrentScavenge;1;0;17156374;220559766;792674973
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;1;0;17154463;225841312;824160366
15.0.1.j9-adpt; -Xgcpolicy:balanced;1;0;17054632;220842357;789956473
15.0.1.j9-adpt; -Xgcpolicy:gencon;1;0;17233995;221321386;795299355
15.0.1.j9-adpt; -Xgcpolicy:metronome;1;0;17662222;229898947;861264031
15.0.1.j9-adpt; -Xgcpolicy:nogc;1;0;17168356;221423436;791589587
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;1;0;17048164;218445428;779368976
15.0.1.j9-adpt; -Xgcpolicy:optthruput;1;0;17294983;222924321;799989773
15.0.1-open; -XX:+UseG1GC;1;0;20392558;266522114;956496087
15.0.1-open; -XX:ParallelGCThreads=5;1;0;20486476;264896137;933081534
15.0.1-open; -XX:ConcGCThreads=5;1;0;20434951;268098902;967198940
15.0.1-open; -XX:ParallelGCThreads=1;1;0;20345420;263032183;932383479
15.0.1-open; -XX:ConcGCThreads=1;1;0;20420982;267938404;951879949
15.0.1-open; -XX:+DisableExplicitGC;1;0;20400968;263763386;941508576
15.0.1-open; -XX:+UseParallelGC;1;0;20339573;264901981;942371306
15.0.1-open; -XX:+UseParallelOldGC;1;0;20397882;263469978;940744418
15.0.1-open; -XX:+UseSerialGC;1;0;20372868;263668312;950555795
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;1;0;20812691;270088682;954069884
16.0.0.j9-adpt;deafult;2;0;17130641;224944808;806925120
16.0.0.hs-adpt;deafult;2;0;18873639;246463951;871895717
11.0.11.j9-adpt;deafult;2;0;17005658;220014183;787097900
11.0.11.hs-adpt;deafult;2;0;18392645;237497845;843076210
11.0.10.j9-adpt;deafult;2;0;17126177;220280129;791016773
11.0.10.hs-adpt;deafult;2;0;20342853;262786236;926709480
8.0.292.j9-adpt;deafult;2;0;17050000;222727286;793539107
8.0.292.hs-adpt;deafult;2;0;23581952;306268668;1090675431
8.0.282.j9-adpt;deafult;2;0;17133079;221098770;793052964
8.0.282.hs-adpt;deafult;2;0;23647998;306320030;1089985857
11.0.9.4-albba;deafult;2;0;19730151;254234347;906131103
8.5.5-albba;deafult;2;0;23653108;306779719;1105889198
16.0.1.9.1-amzn;deafult;2;0;19052550;246110246;885303215
16.0.0.36.1-amzn;deafult;2;0;18936008;245416421;871865078
15.0.2.7.1-amzn;deafult;2;0;21124027;273981002;998828070
11.0.11.9.1-amzn;deafult;2;0;18290861;235853157;834654419
11.0.10.9.1-amzn;deafult;2;0;20382792;264739970;959995039
8.292.10.1-amzn;deafult;2;0;23584548;307159175;1108642609
8.282.08.1-amzn;deafult;2;0;23540701;305428867;1107513400
16.0.0-zulu;deafult;2;0;19132405;247596380;890929787
16.0.0.fx-zulu;deafult;2;0;19003432;246380292;872828577
15.0.2.fx-zulu;deafult;2;0;20430450;264045671;937348125
11.0.11-zulu;deafult;2;0;18435845;238794535;860162655
11.0.10-zulu;deafult;2;0;19681142;254101160;901969981
11.0.10.fx-zulu;deafult;2;0;19751213;255995468;913658123
8.0.292-zulu;deafult;2;0;23692304;307411119;1091496780
8.0.282-zulu;deafult;2;0;23566881;305509390;1081518411
8.0.282.fx-zulu;deafult;2;0;23681099;307410905;1096813171
16.0.1.fx-librca;deafult;2;0;18950870;245064429;868891941
16.0.1-librca;deafult;2;0;19061528;245784065;888721724
16.0.0.fx-librca;deafult;2;0;19041146;246073051;872398951
16.0.0-librca;deafult;2;0;18984386;245344359;884429926
11.0.11.fx-librca;deafult;2;0;18442327;238986902;854359690
11.0.11-librca;deafult;2;0;18252804;234550959;832317694
11.0.10.fx-librca;deafult;2;0;20337511;262232117;928438480
11.0.10-librca;deafult;2;0;19834250;256698825;907852594
8.0.292.fx-librca;deafult;2;0;23607501;305604342;1112743611
8.0.292-librca;deafult;2;0;23472588;304043665;1089427753
8.0.282.fx-librca;deafult;2;0;23475859;306403981;1108850005
8.0.282-librca;deafult;2;0;23655618;306386906;1093640877
21.1.0.r16-grl;deafult;2;0;24504124;318915525;1130628087
21.1.0.r11-grl;deafult;2;0;24732842;320514850;1135767478
21.1.0.r8-grl;deafult;2;0;24797359;323370304;1173575792
21.0.0.2.r11-grl;deafult;2;0;24753994;321961526;1150680222
21.0.0.2.r8-grl;deafult;2;0;24625183;320229475;1175359662
20.3.2.r11-grl;deafult;2;0;24834842;322085778;1131981233
20.3.2.r8-grl;deafult;2;0;24782285;322530318;1167230410
20.3.1.2.r11-grl;deafult;2;0;24742645;321736493;1133630032
20.3.1.2.r8-grl;deafult;2;0;24788794;322197911;1174845625
19.3.6.r11-grl;deafult;2;0;24767949;321305294;1148507192
19.3.6.r8-grl;deafult;2;0;24757137;322333683;1156013764
19.3.5.r11-grl;deafult;2;0;25134522;330705109;1173346544
19.3.5.r8-grl;deafult;2;0;24680358;321913500;1161672380
17.ea.19-open;deafult;2;0;19004016;244884212;871108915
17.ea.6.lm-open;deafult;2;0;19017595;245686848;869880219
17.ea.2.pma-open;deafult;2;0;19005088;246237221;867492286
16-open;deafult;2;0;19024666;247071500;886092336
16.0.1-open;deafult;2;0;18932439;244816876;872519311
11.0.11-open;deafult;2;0;18385792;238087767;842579691
11.0.10-open;deafult;2;0;20423366;267448926;947505265
11.0.2-open;deafult;2;0;19818056;256651166;908149347
8.0.292-open;deafult;2;0;23600930;307821801;1103739666
8.0.282-open;deafult;2;0;23740394;307967045;1104553202
8.0.265-open;deafult;2;0;23715035;306810823;1098634273
21.0.0.0-mandrel;deafult;2;0;19729538;254975968;912884077
20.3.1.2-mandrel;deafult;2;0;20383847;264406491;952824465
11.0.11.9.1-ms;deafult;2;0;19127229;247346273;885189323
11.0.10.9-ms;deafult;2;0;20476580;265717625;941817841
16-sapmchn;deafult;2;0;18948622;247392447;880403812
16.0.1-sapmchn;deafult;2;0;18957811;246164302;870398590
15.0.2-sapmchn;deafult;2;0;20437997;264986927;943775538
11.0.11-sapmchn;deafult;2;0;19023061;245898724;867797461
11.0.10-sapmchn;deafult;2;0;20324475;264082422;960285384
11.0.9-trava;deafult;2;0;19619643;255074042;899779617
8.0.232-trava;deafult;2;0;23743959;308486510;1126395798
20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;19786929;257976298;909775931
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;2;0;24984598;325570918;1158390284
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;17383962;225484438;844146032
15.0.1.j9-adpt; -XcompilationThreads1;2;0;17273269;223151984;801119776
15.0.1.j9-adpt; -XcompilationThreads3;2;0;17180589;221264913;788369991
15.0.1.j9-adpt; -XcompilationThreads7;2;0;17228900;222490381;799351713
15.0.1.j9-adpt; -Xjit:count=0;2;0;23421472;304588850;1114282304
15.0.1.j9-adpt; -Xjit:count=1;2;0;15483200;201552913;758198376
